1,one,,,,,,,,,,
2,two,to,,,,,,,,,
3,three,tree,free,,,,,,,,
4,four,for,,,,,,,,,
5,five,,,,,,,,,,
6,six,sex,,,,,,,,,
7,seven,,,,,,,,,,
8,eight,,,,,,,,,,
a,a,letter a,alpha,all the,,,,,,,
b,b,letter b,be,bravo,,,,,,,
c,c,letter c,sea,see,charlie,charles,charley,charl,,,
d,d,letter d,de,delta,dolt,dealt,,,,,
e,e,letter e,he,letter he,,,,,,,
f,f,letter f,if,ah,as,at,fox trot,fox to,of,,
g,g,letter g,j,letter j,ja,ji,golf,go,,,
h,h,letter h,eh,age,each,hotel,potel,bach,ach,each,ah
P,pawn,pon,paw,,,,,,,,
N,night,net,neat,might,knit,,,,,,
K,king,,,,,,,,,,
Q,queen,cream,,,,,,,,,
R,rook,ruck,rock,reck,recar,wreck,,,,,
B,bishop,ship,bishhop,ishhip,isship,beshop,misship,mishap,,,
castle king side,castle king side,castle king,castle kings,castle king so,cattle kings,at king's side,,,,,
castle queen side,castle queen side,castle queen,castle queens,castle queen so,cattle queens,castle quin,at queen's side,a quinsie,,,
en passant,en passant,in person,un passant,and person,in person,and passant,,,,,
promote,promote,to me,from out,prime,,,,,,,
show hint,show hint,show him,show hints,,,,,,,,
take back,take back,,,,,,,,,,
rotate board,rotate board,,,,,,,,,,
select,select,,,,,,,,,,
cancel,cancel,,,,,,,,,,
menu,menu,many,men you,,,,,,,,
resign,resign,,,,,,,,,,
draw,draw,,,,,,,,,,
yes,yes,okay,alright,all right,,,,,,,
no,no,nada,nope,,,,,,,,
accept,accept,,,,,,,,,,
decline,decline,,,,,,,,,,
human,human,,,,,,,,,,
computer,computer,,,,,,,,,,
white,white,,,,,,,,,,
black,black,,,,,,,,,,
file,file,,,,,,,,,,
rank,rank,,,,,,,,,,
left,let,laughed,laugh,,,,,,,,
right,right,,,,,,,,,,
up,up,,,,,,,,,,
down,down,,,,,,,,,,
next,next,not,,,,,,,,,
previous,previous,,,,,,,,,,
commands,commands,show commands,show commands,she command,so command,so man,she and,so come and,she come and,,
takes,takes,,,,,,,,,,
captures,captures,capture,,,,,,,,,
